text,label
"Tony Pierce-Roberts, BSC (born 1945 in Birkenhead, England) is a British cinematographer.",['PLACE_OF_BIRTH']
"George W. Clarke (June 22, 1906 – June 25, 2006) was an American politician in the state of Washington.",['NATIONALITY']
"A Yorkshireman (he lives in Thirsk and Malton) of Flemish ancestry, he is the son of Derek Vander Weyer, who was a prominent London banker with Barclays, where he rose to Deputy Chairman.",['CHILD_OF']
"Knowlton Bennett & Conaway grew out of the law firm Knowlton & Bennett, which was established in 1980 by the late Daniel D. Knowlton and William Mark Bennett.",['FOUNDED_BY']
"Mr. Ghazanfar Ali Sanpal (resident of Moza Ranjit Kot) matriculated from the high school and later on received his MSc degree in Computer Science in 2003 from Quad-e-Azam University (QAU), Islamabad (Pakistan).",['PLACE_OF_RESIDENCE']
"Hédi Annabi (4 September 1943 – 12 January 2010) was a Tunisian diplomat and Special Representative of the United Nations Secretary-General, Head of the UN Stabilization Mission in Haiti (MINUSTAH).",['EMPLOYEE_OR_MEMBER_OF']
"Iris Falcam was a native of Hawaii, but resided in what is now the Federated States of Micronesia for more than forty years.",['PLACE_OF_RESIDENCE']
"In 1937 she divorced Dmitri and moved to France with her son, marrying that same year a member of a princely house of Georgia, Prince Dimitri Djordjadze; that marriage also ended in divorce.",['PLACE_OF_RESIDENCE']
"It was founded at the death of Carlos de Amberes in 1594; Carlos was a native of Antwerp, and bequeathed all his property to support people from the Low Countries visiting Spain.",['PLACE_OF_BIRTH']
"Dirk van Dalen (born 20 December 1932, Amsterdam) is a Dutch mathematician and historian of science.","['PLACE_OF_BIRTH', 'DATE_OF_BIRTH']"
"Most of all, I am grateful to live in the Napa Valley, where I was born.",['PLACE_OF_RESIDENCE']
She moved to the double monastery at Ely where her sister Æthelthryth was abbess and succeeded her when Æthelthryth died in 679.,['DATE_OF_DEATH']
"His family ran a company named H. E. Schjøtt & Co, and Schjøtt started his own company named Hagbarth Schjøtt in 1926.",['FOUNDED_BY']
"Chip Wass (born 1965) is a well-known American illustrator, designer, and animator whose drawings are noted for their ironic style and trenchant comic wit.",['NATIONALITY']
"Apostle Kojo Sarfo (also spelt Safo) is a Ghanaian pastor, philanthropist, entrepreneur, innovator and inventor., He was born on 6 August 1948 at Bekwai in the Ashanti Region of Ghana.",['DATE_OF_BIRTH']
"Gloria Yip Wan-Yee (Chinese: 葉蘊儀, born January 13, 1973 in Hong Kong, the elder of two sisters and daughter of prominent businessman Yip Shao) is a Hong Kong actress and singer, best known for her four films with director Lam Ngai Kai, and to Western audiences, her ""special appearance"" in Lam's Riki-Oh: The Story of Ricky and principal supporting role in the cult classic Saviour of the Soul.","['PLACE_OF_BIRTH', 'DATE_OF_BIRTH']"
"Jessica advised and collaborated with Millennial Trains Project, a D.C. based nonprofit focused on young innovators, along with startups and nonprofits across the globe to advance their communications, marketing and operational goals.",['EMPLOYEE_OR_MEMBER_OF']
"Ester Jacob v.Gelder, birth ± 1782, died 26 Dec 1832 Amsterdam, Muiderberg cemetery: on 6 Teveth 1832 [28 Dec 1832] - Ester Jacob v.Gelder, wife of Samuel v.d.Velde.",['SPOUSE']
"Dr. Lopez and Karen have been married for 20 years and have two children, Eric and Matthew.",['CHILD_OF']
"Arieh Warshel (Hebrew: אריה ורשל; born November 20, 1940) is an Israeli-American biochemist and biophysicist.",['NATIONALITY']
"Hemang is the Co-Founder & CEO of Revmetrix, a big data startup based in Washington DC.",['FOUNDED_BY']
"Friedrich Hayek CH ([ˈfʁiːdʁɪç ˈaʊ̯ɡʊst ˈhaɪ̯ɛk]; 8 May 1899 – 23 March 1992), born in Austria-Hungary as Friedrich August von Hayek and frequently referred to as F. A. Hayek, was an Austrian and British economist and philosopher best known for his defense of classical liberalism.",['NATIONALITY']
"Allan Franklin Larsen (April 4, 1919 – March 2, 2005) was a Republican politician from eastern Idaho.",['POLITICAL_AFFILIATION']
"James Joseph Heckman (born April 19, 1944) is an American economist and Nobel laureate.",['DATE_OF_BIRTH']
"Winslow was born in Fredericton, New Brunswick, Canada, and later immigrated to the United States in the early 1900s.",['PLACE_OF_BIRTH']
"Aleksandr Viktorovich Gurevich (Russian: Александр Викторович Гуревич) (b. September 19, 1930) is a Soviet and Russian physicist.",['DATE_OF_BIRTH']
"However, en route, they decided to live in Stoolbend, Virginia instead, where Cleveland married Donna Tubbs, and Rallo and Roberta became his step-siblings.",['PLACE_OF_RESIDENCE']
"James Joseph ""Jimmy"" Chamberlin (born June 10, 1964) is an American drummer and record producer.",['NATIONALITY']
He was born in Tromsø as a son of educator and politician Just Knud Qvigstad (1853–1957) and Margrethe Antonette Aagaard (1859–1949).,['PLACE_OF_BIRTH']
"She was the youngest daughter of Khattab ibn Nufayl, who married her off with his nephew, hanif Sa'id ibn Zayd.",['CHILD_OF']
"Gusthart''s was established in 1985 as Gustharts Chainsaw Centre by Jim and Robert Gusthart, a father and son team with over 92 years of chainsaw experience between them.",['DATE_FOUNDED']
"Twerksy was born and raised in the Bronx, New York, where he grew up in the left-leaning Sholem Aleichem cooperative housing project.",['PLACE_OF_BIRTH']
"BottleRocket Entertainment was a third-party video game developer founded by Jay Beard (previously head of Sony San Diego), composed primarily of former Sony San Diego employees and animators.",['FOUNDED_BY']
"Simon Christopher Coombs (born 21 February 1947), is a former British Conservative politician.",['POLITICAL_AFFILIATION']
"Blaizing Lotus is dedicated to my daughter Blaize, who passed away of SIDS in 2008.",['DATE_OF_DEATH']
"We started this new agency in 2012 here in Henderson, Nevada near the intersection of the I 215 and Eastern Avenue.",['HEADQUARTERS']
"Tomasz Mendelski (born May 21, 1981 in Olsztyn) is a Polish sprint canoer.",['NATIONALITY']
"John A. Caddell (Tuscumbia, Alabama, 23 April 1910 – 7 February 2006) was an American lawyer in the state of Alabama.",['NATIONALITY']
"Tuning Fork Limited was set up in March of 2001 by Ing Joseph Caruana with the aim of being a business advisory firm that not only identified and provided business management solutions, but would then also be capable to work hand in hand with its clients to implement them.",['DATE_FOUNDED']
"In 2005 Brisinger formed the film production company Drama Svecia with partner/producer Mikael Flodell, owner/CEO of Stockholm commercial production company Flodellfilm to which he has been signed as a commercial director since 2000.",['CEO']
"Hsieh Wang was born on May 5, 1930 in Xi'an, Shaanxi, Republic of China as Chang Chien Wang.",['DATE_OF_BIRTH']
"Michael A. Miles (1940–2013) was an American marketer and businessman from Washington, D.C., who served as Chief executive of Kentucky Fried Chicken, Kraft Foods, and Philip Morris Companies, and as a director on the board of Time Warner, Sears Holdings Corporation, Dell Inc., AMR Corporation, and Citadel Broadcasting Corporation.","['CEO', 'DATE_OF_BIRTH']"
"James Otis ""BigCat"" Williams (born March 29, 1968) is a former American football player.",['DATE_OF_BIRTH']
Tajol gave up his positions as Perak Barisan Nasional chief and member of the state Umno liaison committee to then Deputy Prime Minister Datuk Seri Najib Tun Razak on 30 January 2009.,['EMPLOYEE_OR_MEMBER_OF']
"Arvid Gustavsson, Lord of Vik (died c. 1379/1380) was a medieval Swedish magnate and justiciar of Finland.",['DATE_OF_DEATH']
Anna Wierzbicka [ˈanna vʲɛʐˈbʲitska] (born 10 March 1938 in Warsaw) is a Polish linguist currently working at the Australian National University in Canberra.,['NATIONALITY']
"News Corporation (officially referred to as New News Corp; trading as News Corp) is an American multinational mass media company, formed as a spin-off of the former News Corporation (as founded by Rupert Murdoch in 1979) focusing on newspapers and publishing.",['DATE_FOUNDED']
"Benjamin Peirce (/ˈpɜːrs/; April 4, 1809 – October 6, 1880) was an American mathematician who taught at Harvard University for approximately 50 years.",['EMPLOYEE_OR_MEMBER_OF']
"Carolyn Jean Lewis (née Wright), (born 16 January 1946) is an Australian former athlete who competed in the high jump.",['DATE_OF_BIRTH']
"He was the founder and CEO of Strikeforce which was sold to Zuffa, LLC.",['FOUNDED_BY']
"Gerhard Kraft (born 1941 in Heidelberg, Germany) is a German physicist, best known for introducing heavy ion cancer therapy in Europe.",['NATIONALITY']
"It was founded in January 2001 in Las Vegas, Nevada, by Station Casinos executives Frank Fertitta III and Lorenzo Fertitta to be the parent entity of the Ultimate Fighting Championship (UFC) after they purchased it from the Semaphore Entertainment Group.",['SUBSIDIARY_OF']
"Michael John Michot, known as Mike Michot (born December 12, 1963), is a Republican former member of the Louisiana State Senate.",['POLITICAL_AFFILIATION']
"Bryan Braman (born May 4, 1987) is an American football linebacker for the Philadelphia Eagles of the National Football League (NFL).",['DATE_OF_BIRTH']
"Garrett Erin Reisman (born February 10, 1968) is an American engineer and former NASA astronaut.",['NATIONALITY']
"Princess Irina Felixovna Yusupova (Russian: Ирина Феликсовна Юсупова), nicknamed ""Bébé"", (21 March 1915 – 30 August 1983 in Cormeilles, France) was born in Petrograd, Russia, the only child of Prince Felix Yusupov and Princess Irina of Russia.",['PLACE_OF_BIRTH']
"Wang Jing (Chinese: 王靖, born 1972) is a Chinese businessman and billionaire.",['DATE_OF_BIRTH']
Rolls-Royce Motor Cars Limited is a wholly owned subsidiary of BMW established in 1998 after BMW was licensed the rights to the Rolls-Royce brand name and logo from Rolls-Royce PLC and acquired the rights to the Spirit of Ecstasy and Rolls-Royce grill shape trademarks from Volkswagen AG.,['SUBSIDIARY_OF']
"Born and raised in Crested Butte, Colorado, she befriended Lauren Conrad in 2005.",['PLACE_OF_BIRTH']
"Paul Hugo Hensel (May 17, 1860, Groß-Barthen near Königsberg – November 11, 1930, Erlangen) was a German philosopher, son of the landowner and entrepreneur Sebastian Hensel, brother of the mathematician Kurt Hensel, grandson of the composer Fanny Mendelssohn and the painter Wilhelm Hensel, and a descendant of the philosopher Moses Mendelssohn.",['NATIONALITY']
Stephen was born and raised in NYC and started making pizza in his teens.,['PLACE_OF_RESIDENCE']
"Carmine Zoccali is an Italian nephrologist associated clinical investigator with the Institute of Clinical Physiology of Pisa, National Research Center (IFC-CNR) at the Reggio Calabria Unit, Italy.",['EMPLOYEE_OR_MEMBER_OF']
"Alan Mauritz Swanson (born Chicago, Illinois 29 October 1941) is an American composer and academic who lives in the Netherlands.",['PLACE_OF_BIRTH']
"Jake Steinfeld (born February 21, 1958) is an American actor, fitness specialist and entrepreneur in the fitness training industry.",['DATE_OF_BIRTH']
"Milton Neil Campbell (January 21, 1881 – November 11, 1965) was a Canadian politician.",['DATE_OF_BIRTH']
"Hitachi Automotive Systems Americas, Inc. was formed on January 1, 2011 when Hitachi Automotive Products (USA), Inc. merged and consolidated its two subsidiaries, UNISIA OF GEORGIA CORPORATION and TOKICO (USA) INC.",['DATE_FOUNDED']
"Dr. Ketabchi (DRK) has been a university professor for 20 years and a high tech executive (CEO, Chief Strategist, Chief Product Officer) in start up, public and private high tech companies for 18 years before founding Worlds Yoga Inc.",['CEO']
He was killed near Gorno Karadjovo during a battle with an Irish division.,['DATE_OF_DEATH']
"In the year of grace 1725, Louis XV got married Marie Leszczynska, daughter of King Stanislas of Poland.",['SPOUSE']
"In 1867, he started a charity organisation which is now called Spurgeon's and works globally.",['FOUNDED_BY']
"David Burton Wake (born June 8, 1936, Webster, South Dakota) is emeritus professor of integrative biology and former Director and curator of herpetology of the Museum of Vertebrate Zoology at the University of California, Berkeley.",['PLACE_OF_BIRTH']
"Cashmore was later divorced from his wife, who moved to Scotland with their eldest son, Donald.","['PLACE_OF_RESIDENCE', 'CHILD_OF']"
Hollywood-based Spinning Owls Productions LLC was established in 2011 by mother-daughter team Dorothy O. Wise and J. Zakira Wise.,['DATE_FOUNDED']
"Ernst Julius Remak (26 May 1849, Berlin – 24 May 1911, Wiesbaden) was a German neurologist who was the son of famed neurologist Robert Remak (1815-1865) and the father of the mathematician Robert Remak (1888-1942).",['DATE_OF_BIRTH']
"Eccles was born in Heaton Moor and grew up in Chorlton, then studied at the University of Manchester.",['PLACE_OF_BIRTH']
"Henri-Claude A. Bailly, also known as HC, co-founded RCG, LLC in 2002 and serves as its Principal and Chief Executive Officer.",['CEO']
She was born in Udine and lives in Rome and Venezia.,['PLACE_OF_BIRTH']
Sara Maria Danius (born 5 April 1962 in Täby) is a Swedish scholar of literature and aesthetics.,['NATIONALITY']
"David F. Nazworthy, professionally known as Dave Naz (born in 1969 in Los Angeles, California) is an American photographer and film director.",['PLACE_OF_BIRTH']
"Dr. Jack Hughston founded Hughston Clinic in 1949 to practice general orthopaedics, he already had an abiding concern for athletes, especially student athletes and the damage sports injuries could have on their musculoskeletal system.",['FOUNDED_BY']
Its chairman of the board is retired General Martin Dempsey and its CEO is Jim Tooley.,['CEO']
"Geiger died in Potsdam, Germany a few months after World War II ended.",['DATE_OF_DEATH']
"Joseph Angus ""Joe"" Cannon was Chairman of the Utah Republican Party from 2002 to 2006 and is currently the CEO of Fuel Freedom Foundation.",['CEO']
"Sergio Vento (born May 30, 1938) is an Italian diplomat, former Permanent Representative of Italy to the United Nations and Italian Ambassador to the United States.","['EMPLOYEE_OR_MEMBER_OF', 'NATIONALITY']"
"Desmond and John O’Sullivan formed O’Sullivan Brothers, Inc. in 2011 in order to combine their thirty plus years of executive experience and help businesses, both small and large, navigate the challenges of today’s online business world.",['FOUNDED_BY']
"Thomas ""Tom"" Kalinske (born July 17, 1944) is an American businessman, best known as having worked for Mattel 1972-87, reviving the Barbie & Hot Wheels Brands, launching Master of the Universe, then being promoted to CEO of [Mattel] from 1985 to 1987.",['DATE_OF_BIRTH']
"Victor Mikhailovich Remsha (born October 19, 1970 in the city of Krasnoyarsk) is a Russian businessman, known for being the founder and chairman of the board of Finam Investment Holding, a large Russian investment holding.",['DATE_OF_BIRTH']
"Born in Connellsville, Pennsylvania, Davidson moved with his family to Beaver County, Pennsylvania.",['PLACE_OF_BIRTH']
"Caitlin Womble, Marina Director Caitlin was born and raised in a small town in North Carolina.",['PLACE_OF_RESIDENCE']
"Teodor Shanin OBE, born 1930 in Vilnius, Lithuania (then in possession of Polish Republic) is a British sociologist who was for many years a Professor of Sociology at the University of Manchester.",['NATIONALITY']
Zhor El Kamch (Arabic: زهور الكمش) (born 15 March 1973 in Tiflet) is a Moroccan female long-distance runner who competes in distance from 3000 metres up to the marathon.,['NATIONALITY']
"On the death of Lucius Cornelius Cinna, in 84 BC, he married his wife Annia, and in the following year, 83, was appointed quaestor to the consul Lucius Cornelius Scipio.",['DATE_OF_DEATH']
"Heinrich Hitler (nickname Heinz; 14 March 1920 – 21 February 1942) was the son of Alois Hitler, Jr. and his second wife Hedwig Heidemann and the nephew of Adolf Hitler.",['SPOUSE']
"Nora Lustig was born and raised in Buenos Aires, Argentina and has spent most of her adult life in the United States and Mexico.",['PLACE_OF_BIRTH']
"Currently a resident of Philadelphia, Pennsylvania, Ms. Lyney Armour is studying at Drexel University has rec'd a MBA and continuing her education in Clinical Research Organization and Management.",['PLACE_OF_RESIDENCE']
"John Cox Atlee (October 30, 1882 – August 2, 1958) was an American athlete.",['NATIONALITY']
"Created by Karen Howard and now sustained through her daughter and current Executive Director, Lani Richardson, the Web nourishes local education and culture while serving as a vehicle for both established and emerging artists to reach their audiences.",['CHILD_OF']
"Among the founder-members were Hassan Nezam (1922–1958), the principal founder, who was killed in Tehran in 1958 by SAVAK.",['DATE_OF_DEATH']
"Sir James Gordon Partridge Bisset, CBE, RD (15 July 1883 - 28 March 1967) was a British merchant sea captain who served as Commodore of the Cunard White Star Line (1944–47).",['EMPLOYEE_OR_MEMBER_OF']
Rossella Ratto (born 20 October 1993) is an Italian racing cyclist.,['NATIONALITY']
"In 2003 I joined Sogreah's subsidiary in Dubai, where I became involved mainly in all aspects of the feasibility studies for the GCC Water Grid Project, involving the interconnection of the drinking water networks of the six Arab countries around the Gulf.",['SUBSIDIARY_OF']
"He was born in Dorchester, New Brunswick, the son of Philip Palmer and Sarah Ayer, and educated in Sackville.",['EDUCATED_AT']
"Born near Savage, Maryland, to Stephen Gambrill and Kate (Gorman) Gambrill, he attended the common schools and Maryland Agricultural College (now the University of Maryland, College Park.",['PLACE_OF_BIRTH']
George Kerr (born 1805) was a Scottish-born lawyer and politician in New Brunswick.,['NATIONALITY']
"His son Robert joined him at the age of 15 when he left school and went to work at H. Irwin & Son, a local timber merchant, where they sold and repaired all makes of chainsaw.",['CHILD_OF']
"Haylee Wanstall (born December 21, 1992) in Toronto, Ontario is a film actress who debuted at the age of 7 on Queer as Folk.",['DATE_OF_BIRTH']
"The Company has a strong Board of Directors, led by Chief Executive Officer Bart Turtelboom, and has formed an International Advisory Council (IAC) to help guide its strategy.",['CEO']
"José de La Cruz Benitez Santa Cruz (born 3 May 1952 in Asunción), is a former football player who played as a goalkeeper.",['PLACE_OF_BIRTH']
"Vic Roschkov Sr. is a Canadian editorial cartoonist and illustrator, now living in London, Ontario, Canada.",['NATIONALITY']
"After graduating from Harvard, he remained as a tutor (1829), and was subsequently appointed professor of mathematics in 1831.",['EDUCATED_AT']
"The original board of directors consisted of two US citizens, Richard Millett and Emilio Gonzalez, and Venezuelan citizen Salvador Briceno.",['EMPLOYEE_OR_MEMBER_OF']
"Ziad Makhzoumi (Born in Beirut, Lebanon on January 20, 1955) is a public speaker, coach and business executive currently serving as the Chief Executive Officer of Fakih IVF.",['CEO']
"Jocelyne Saucier (born 27 may 1948 in Clair, New Brunswick) is a Canadian novelist and journalist based in Quebec.","['PLACE_OF_BIRTH', 'DATE_OF_BIRTH']"
"Tony Harborn (born 26 August 1956) is a Swedish Paralympian who won two silver medals at the sixth Paralympic Games in Arnhem, Netherlands 1980, in the 80m CP C and 800 m CP C events and the silver in the 1000m Cross Country C6 event at the seventh Paralympic Games, New York, USA 1984.",['NATIONALITY']
"15 years ago, when Yollande moved from her native village in West Africa to Milwaukee, she saw an opportunity to share with her new community an honest experience of her African culture.",['PLACE_OF_RESIDENCE']
"Born May 12, 1942 to Jeanette Weeks and Russ Weeks, Sr. in Beckley, West Virginia, he is a lifelong resident of the city.",['PLACE_OF_BIRTH']
"Agathe was named after the youngest daughter of Austrian astronomer Theodor von Oppolzer (1841–1886), professor of astronomy in Vienna.",['CHILD_OF']
"Florence Vidor (July 23, 1895, Houston, Texas – November 3, 1977, Pacific Palisades, California) was an American actress.",['NATIONALITY']
"Adrian Picardi (born April 1987) is a bi-racial ""Italian-Korean"" American filmmaker based in Los Angeles, California.",['DATE_OF_BIRTH']
"Trisha Silvers (born 19 April 1981 in Melbourne, Victoria) became known in Australia for surviving the tsunami of 26 December 2004, in which her new husband Troy Broadbridge was killed.","['DATE_OF_BIRTH', 'SPOUSE']"
"Larsen died at age 85 in March 2005; he and his wife Barbara (1920–1990) are buried at the Riverside Thomas Cemetery in Blackfoot, Idaho.",['SPOUSE']
"He was the Vice President of Business Developmentat STC, he joined STC in 2000 in Corporate Planning Department, moved subsequently, in July 2004 as the Head of STC Strategic Investments Unit, reporting to the CEO.",['CEO']
"Colette Rolland (born 1943, in Dieupentale, Tarn-et-Garonne, France) is a French computer scientist and Professor of Computer Science in the department of Mathematics and Informatics at the University of Paris 1 Pantheon-Sorbonne, and a leading researcher in the area of information and knowledge systems, known for her work on meta-modeling, particularly goal modelling and situational method engineering.",['NATIONALITY']
"Joseph Stein was born on May 30, 1912 in Bronx, New York City, New York, USA.",['DATE_OF_BIRTH']
"She left ABC in 1980 and formed her own Production Company, which became the Carsey Werner Company in 1981.",['FOUNDED_BY']
"Chang Hee-jin (Korean: 장희진; born September 5, 1986) is a South Korean former swimmer, who specialized in sprint freestyle events.",['NATIONALITY']
"Mortimer Jerome Adler (December 28, 1902 – June 28, 2001) was an American philosopher, educator, and popular author.","['NATIONALITY', 'DATE_OF_BIRTH']"
"David Charles Walter (1 February 1948 – 29 March 2012), was a British journalist and a former Political Correspondent for Independent Television News programmes on ITV from 1980–1986, then on ITN's Channel 4 News from 1986–1988, followed by Paris Correspondent for BBC News, a BBC television and radio producer and presenter, and a Liberal Democrat contender for a seat in the British Parliament (Torridge and West Devon, 2005).",['DATE_OF_BIRTH']
"Alexandra Polish: Aleksandra (died 20 April 1434 in Płock) was the youngest daughter of Algirdas, Grand Duke of Lithuania, and his second wife, Uliana of Tver.",['DATE_OF_DEATH']
"Jeffrey C. Sprecher (born c. 1955) Is an American businessman and is the Founder, Chairman and CEO of Intercontinental Exchange and Chairman of the New York Stock Exchange.",['FOUNDED_BY']
"He was born in London on 3 November 1685 in a family of medallists, engravers and goldsmiths.",['DATE_OF_BIRTH']
"Born in Glasgow in 1868, Ramsay moved to Australia at the age of ten, settling with his family in Melbourne in June, 1878.",['PLACE_OF_BIRTH']
"""In 1937 Beveridge was awarded a Commonwealth Fellowship and went with his first wife, Patricia, and infant son John, to work in the Rockefeller Institute in Princeton, studying swine influenza virus, on which he worked with Richard Shope.",['SPOUSE']
"Automobili Stanguellini is an Italian maker of small sports cars, based in Modena and founded by Vittorio Stanguellini; it was most active between 1946 and 1960.",['FOUNDED_BY']
"Victor Daniel Katz Jora known as Daniel Katz born in 1961, is an Argentine politician.",['NATIONALITY']
"Mary Catherine Jordan (born November 10, 1960) is a Pulitzer Prize-winning American journalist for the Washington Post.",['DATE_OF_BIRTH']
"I was born and schooled in Albury, NSW and then spent a few years in Wagga Wagga and Perth whilst gaining my accountancy qualifications and experience.",['PLACE_OF_RESIDENCE']
"Greg Wallis is the director & CEO of Passion Sports Inc, a company that he co-founded with a college teammate in 2005 as a summer youth basketball program.","['FOUNDED_BY', 'CEO']"
"Don Hugo O'Donnell, 7th Duke of Tetuan (born September 29, 1948), also known as Hugo O'Donnell y Duque de Estrada, is a Spanish nobleman.",['DATE_OF_BIRTH']
"Peter McCabe (born Peter Henry McCabe; 7 November 1945 – April 1998) was an English author and music journalist, who wrote in a variety of genres.",['DATE_OF_BIRTH']
Marios Garoyian (Greek: Μάριος Καρογιάν; Armenian: Մարիոս Կարոյեան; born 31 May 1961) is a Cypriot-Armenian politician.,['NATIONALITY']
"Guccifer (real name Marcel Lazăr Lehel, born in 1973 ) is a Romanian hacker who is responsible for a number of high-level security breaches involving both current and former members of the United States government.",['NATIONALITY']
"On 16 May 1987, in Oakville (near Toronto), Hermann married Deborah Cully (born 2 December 1961, in Belfast), daughter of Robert and Myrna Ruth Cully.","['PLACE_OF_BIRTH', 'DATE_OF_BIRTH', 'SPOUSE']"
"Oleksiy Oleksiyovych Skrypnyk (Ukrainian: Олексій Олексійович Скрипник, born 8 March 1964 in Lviv) is a Ukrainian politician.","['PLACE_OF_BIRTH', 'DATE_OF_BIRTH']"
Stallman founded the Free Software Foundation in 1985 to support the movement.,['DATE_FOUNDED']
"The Academy was founded in 1774 by Alexander Macwhorter, a leading cleric and advisor to George Washington.",['FOUNDED_BY']
"Jungo TV is founded by business and broadcasting leaders: Dr. Mehmet Oz, the Emmy Award winning television personality, renowned cardio-thoracic surgeon and host of the international hit ""The Dr. Oz Show"", Nasser J. Kazeminy Chairman of NJK Holdings, an entrepreneur, business leader and philanthropist, Sandy Climan, CEO of Entertainment Media Ventures and longtime Hollywood dealmaker, and George Chung, international content expert and entrepreneur and Chief Executive Officer of Jungo TV.",['CEO']
"He was born on August 4, 1926 to Walter and Barbara (Carl) Schiel in Bay Shore, Long Island, New York.",['PLACE_OF_BIRTH']
In 2000 I married Elvin and moved from California to Oregon where I continued running Lenas Supplements Plus.,['PLACE_OF_RESIDENCE']
"Born November 10, 1891, in the Italian town of Termini Imerese, Palermo, Sicily, he first worked for General Electric (GE) in New York.",['DATE_OF_BIRTH']
